Algorithm: BFS
Source: 0
Traversal: 0 1 5 75 98 9 4 8 68 2 47 70 19 99 6 41 86 7 22 35 29 21 3 42 91 10 38 64 67 84 63 27 16 44 65 24 88 66 48 62 95 77 58 71 26 32 85 97 90 69 79 50 57 81 20 59 83 61 36 34 40 60 37 25 11 43 14 46 56 45 89 96 87 33 54 51 52 28 13 78 23 92 15 12 18 49 74 30 55 17 31 53 93 94 
Distances:
0 0
1 1
2 2
3 2
4 1
5 1
6 2
7 2
8 1
9 1
10 2
11 2
12 3
13 2
14 2
15 3
16 2
17 3
18 3
19 2
20 2
21 2
22 2
23 2
24 2
25 2
26 2
27 2
28 2
29 2
30 3
31 3
32 2
33 2
34 2
35 2
36 2
37 2
38 2
39 2147483647
40 2
41 2
42 2
43 2
44 2
45 2
46 2
47 2
48 2
49 3
50 2
51 2
52 2
53 3
54 2
55 3
56 2
57 2
58 2
59 2
60 2
61 2
62 2
63 2
64 2
65 2
66 2
67 2
68 2
69 2
70 2
71 2
72 2147483647
73 2147483647
74 3
75 1
76 2147483647
77 2
78 2
79 2
80 2147483647
81 2
82 2147483647
83 2
84 2
85 2
86 2
87 2
88 2
89 2
90 2
91 2
92 3
93 3
94 3
95 2
96 2
97 2
98 1
99 2
