Total triangles: 40
Triangles found:
(14, 200, 293)
(78, 353, 361)
(78, 4764, 5245)
(176, 2326, 4542)
(204, 814, 3133)
(322, 961, 1932)
(355, 759, 1319)
(430, 1176, 2294)
(542, 1694, 3843)
(545, 587, 2668)
(571, 3371, 6711)
(589, 2184, 5052)
(647, 3496, 8844)
(718, 1640, 4629)
(719, 768, 4968)
(831, 2030, 9527)
(950, 1260, 1878)
(1003, 2789, 8535)
(1037, 1292, 5833)
(1255, 1399, 9154)
(1295, 3484, 4312)
(1348, 2785, 3750)
(1377, 1502, 4007)
(1682, 1986, 2835)
(1743, 5005, 7634)
(1773, 4019, 7589)
(1907, 5874, 5957)
(1946, 2493, 4050)
(1965, 2745, 9090)
(2122, 5708, 7418)
(2123, 3965, 7860)
(2284, 3590, 7410)
(2511, 4775, 9089)
(2575, 5013, 5396)
(3604, 6493, 9364)
(5414, 7624, 8646)
(5727, 8293, 8793)
(6095, 8338, 9252)
(6794, 7370, 7474)
(7939, 8285, 9473)
