Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 91 25
Dim 2: 79 30
Dim 3: 37 6
Object coordinates:
0: 106.845763 112.925582 106.676858
1: 83.289605 59.383598 93.479113
2: -0.254802 116.712623 76.123705
3: 74.986582 52.113561 31.595769
4: 42.350734 100.997434 123.038759
5: 114.309407 50.628370 92.536450
6: 58.667006 61.873541 148.277318
7: 52.050847 79.410274 118.823203
8: 119.832881 117.734969 66.515371
9: 107.898418 73.083334 54.423815
10: 56.370056 105.589922 71.920661
11: 102.652232 89.607236 61.550091
12: 58.196638 75.534939 71.971883
13: 78.456158 66.782244 146.143481
14: 52.946554 70.159726 74.573048
15: 63.735226 114.019325 122.459867
16: 70.261130 128.330781 57.091700
17: 100.922034 82.372333 88.931256
18: 21.213559 87.691685 100.128870
19: 38.243164 125.124397 103.857209
20: 91.200254 121.278725 57.839332
21: 79.350989 141.020655 102.275406
22: 66.326356 129.088999 101.629333
23: 88.160028 119.963087 93.585970
24: 68.807203 73.082880 98.169391
25: 177.000000 47.854157 97.765217
26: 68.605226 130.206347 134.043754
27: 100.170424 -1.749431 72.364925
28: 91.841102 78.906324 131.076169
29: 102.499746 91.414738 126.475371
30: 79.918842 157.390162 89.405987
31: 82.272514 90.394322 65.428965
32: 91.051497 43.564983 138.070591
33: 19.661130 67.984975 76.847785
34: 56.324181 60.230760 54.039488
35: 72.612768 59.091417 72.997373
36: 90.347458 82.917808 118.071228
37: 93.354153 85.483898 0.000000
38: 99.227684 20.933150 108.236075
39: 94.356525 63.432678 33.273716
40: 50.513023 114.602258 30.373751
41: 22.757542 39.483100 96.364130
42: 115.241441 118.783716 50.045673
43: 58.075706 62.154939 68.442136
44: 80.900000 60.250188 114.769200
45: 19.616045 74.030843 114.246130
46: 17.467006 93.274466 109.337252
47: 63.146215 135.250534 78.626327
48: 74.869972 47.666634 138.052655
49: 123.440085 77.222295 122.338171
50: 22.901695 96.761780 94.888991
51: 90.529831 36.428963 56.889604
52: 39.334802 54.274041 62.094811
53: 97.605763 81.250540 119.754899
54: 49.525847 40.171358 127.501335
55: 62.918644 56.700001 48.935407
56: 77.554689 109.877556 58.504631
57: 78.228814 113.802336 96.305583
58: 97.780932 60.182304 35.556030
59: 82.780791 56.714030 82.846241
60: 90.960565 147.748774 89.579003
61: 81.632627 129.946520 69.344370
62: 73.115960 128.724353 81.570955
63: 120.396271 84.692047 50.560046
64: 60.440650 95.199365 74.813298
65: 109.989266 96.457871 104.518441
66: 52.297881 79.784240 96.530638
67: 115.049153 21.305126 87.065670
68: 100.731610 73.731643 31.204995
69: 68.703390 92.375025 86.112748
70: 105.182345 100.154675 32.377666
71: 88.500000 63.212773 69.562387
72: 93.443503 86.043046 93.045526
73: 33.873333 59.699756 72.456479
74: 106.380932 20.710770 102.311300
75: 119.814915 88.691895 123.792065
76: 48.861441 61.045184 97.368048
77: 57.871299 24.418942 72.536790
78: 78.649379 30.582806 73.343038
79: 62.061158 0.000000 89.405987
80: 49.201328 120.048175 80.216345
81: 58.805085 89.103447 51.261618
82: 85.226102 138.097626 68.309436
83: 66.995113 64.866005 127.289019
84: -6.254492 81.120949 76.502392
85: 112.362345 118.522130 103.651386
86: 122.525565 28.161485 61.363063
87: 57.951751 59.306531 128.567471
88: 36.691525 75.684514 57.990887
89: 30.268164 82.543083 124.951501
90: 84.193220 91.229925 138.313327
91: 0.000000 47.854157 97.765217
92: 57.029266 143.951424 75.439438
93: 80.883644 113.827057 51.791844
94: 55.525395 99.233989 37.040075
95: 90.173023 121.187639 83.714077
96: 56.018446 106.884373 109.376296
97: 61.564322 27.324658 60.476047
98: 74.700141 82.932134 60.086719
99: 87.771780 54.007237 54.783485

===METRICS===
Execution time: 0.035540 ms
(Averaged over 5 runs)
